frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
37.0,13.952513568721074,-23.30608528139298,20.11374,46,62.78481,30,0.30223,0.198715344786593,0.1817615568847395,0.08175516974208069
38.0,13.938593273885552,-26.449247816784116,18.97532,7,50.46444,26,1.03543,0.2173980289032429,0.1733027427689836,0.08191854696757025
39.0,13.944644841717896,-41.80994477300895,17.7813,46,55.66243,26,0.39858,0.1292107335932611,0.1305029122015662,0.08184746189054676
40.0,13.924026255158047,-46.31279985255857,17.98226,46,48.00989,17,0.41822,0.0838226973161721,0.1178413790766776,0.0820900394932406
41.0,13.946504959865534,-68.99348512817858,18.75867,46,42.06793,43,1.0219,0.0006122479442271,0.0556930878052546,0.08182563050028513
42.0,13.943471436037845,-83.30592541746938,19.96806,39,59.72961,40,0.86336,-0.0697622244325929,0.0155747475896169,0.08186123813245766
43.0,13.913482714017269,-77.75436239978983,18.9911,7,47.58119,33,0.91255,-0.0423946921070449,0.0307803246091616,0.08221450116381898
44.0,13.88707600074809,-62.79726356806033,19.20533,6,52.75719,30,0.40811,-0.0115719820063136,0.0721796270165472,0.08252746537388353
45.0,13.909807936020616,-64.87952775659829,16.87372,6,56.64284,29,0.00156,0.0107910562054704,0.0666378606214816,0.08225794675979425
46.0,13.885511613074808,-56.05625773743225,17.52511,6,77.92406,4,0.53821,0.0550785118069916,0.091141540611475,0.08254606205592613
47.0,13.872597377039886,-50.00895771937335,17.93501,6,70.22987,34,0.49494,0.0497090514673086,0.1069005089178803,0.08269982064747003
48.0,13.878124411742,-45.183562056759314,18.47664,6,68.19673,43,1.50812,0.0990976805403975,0.121283765238419,0.08263396250312252
49.0,13.849923579337442,-45.443313589165925,20.16093,4,58.59851,31,0.41286,0.0917137204836888,0.1208387794314443,0.0829708190941031
50.0,13.838857223940586,-32.54858277146512,21.93372,4,68.01334,19,0.73938,0.1486239296070342,0.1560267470716093,0.08310356873862965
51.0,13.83570393577757,-28.764835133368493,21.3363,6,57.29627,38,0.14948,0.1656317648857933,0.1668728736676357,0.0831414532384148
52.0,13.841044426751305,-22.22605845262325,21.98016,1,66.94398,37,2.06957,0.2111653739162748,0.18545212635617,0.0830773062699819
53.0,13.839246434191308,-10.066170790021332,21.94405,1,87.26339,19,0.70714,0.2242735074507611,0.2187748923291636,0.08309889445146351
54.0,13.856278086135902,-4.7816101165241065,20.86206,1,104.35022,35,1.40808,0.1943758736712863,0.2322875980920673,0.08289473549725616
55.0,13.830393256860038,-0.4371492012516995,21.39144,1,102.63867,38,0.75282,0.2170366491118986,0.2445354139844102,0.0832053158237846
56.0,13.835887672422144,178.40955375379986,22.43066,1,103.10017,31,0.85386,0.2625516088195146,0.2509117081987971,0.08313924506347534
57.0,13.838085034757611,175.5723572178888,21.44218,1,96.41066,10,0.46675,0.2551316139116859,0.2589954790305137,0.08311284364438877
58.0,13.814994697142218,177.21730559079992,21.81149,1,86.964,41,0.20868,0.2274242249331058,0.2539324087237653,0.08339090490374264
59.0,13.806691380000627,172.51456489782652,23.16895,47,85.83479,25,1.40494,0.2669564475069486,0.2668620118437694,0.08349123731813972
60.0,13.778820938125046,167.1556881617415,24.10045,1,78.25698,27,1.37669,0.3257285238218825,0.2818689927438062,0.08382933461070607
61.0,13.804032589133351,164.44655853515528,22.97708,1,89.58642,35,0.10552,0.3651451739082149,0.2908634441002086,0.08352340286341081
62.0,13.804308534337666,163.86357324708007,22.74853,1,88.01286,44,0.667,0.3895926016532434,0.2930099252171029,0.08352006366651446
63.0,13.770792854136769,176.1130187760623,25.42654,47,91.46639,36,0.06649,0.3153642582504151,0.2579037341002639,0.0839271045961091
64.0,13.759047260100916,164.32536715369164,25.09896,1,97.53157,43,0.32672,0.3586457879223858,0.2906344054968799,0.08407045673960775
65.0,13.774183146094307,-0.778573125435841,25.2353,47,100.25505,34,0.31611,0.2728130124042836,0.2433836778946528,0.08388579508721396
66.0,13.794026335132967,164.11736932379335,23.56071,1,88.77228,10,0.19342,0.3489401713040049,0.2896589072539404,0.0836446233822926
67.0,13.816978934131766,156.4701289384214,22.58851,1,108.2631,34,1.36801,0.3822783636948292,0.3110305052045394,0.08336695532147494
68.0,13.810585649792769,146.2246376342593,21.55261,1,103.88916,31,0.00277,0.3540733184274703,0.3390861939683176,0.08344415871177523
69.0,13.792822005313113,142.40543495151795,19.46004,1,109.30291,20,0.132,0.3234452131450869,0.3489470932672593,0.08365923099661189
70.0,13.761848836311472,151.96704931168466,21.42969,1,92.64188,6,1.19792,0.30239635067261,0.3218429937512884,0.08403623084156778
71.0,13.798305465856163,148.08798324904984,19.69204,1,89.25663,42,0.61643,0.3032634212805837,0.3321807455341595,0.08359275168274526
72.0,13.77776394181224,150.14330612554988,20.73562,1,72.3266,22,1.43075,0.2877320328359407,0.3255172032018646,0.08384219746665718
73.0,13.766729387033884,152.19535467350016,21.98846,1,72.94065,20,0.31439,0.2950501820541544,0.3200879208993058,0.08397665672282106
74.0,13.755233549866972,133.79316312374405,21.81084,1,87.57106,20,0.63708,0.2919468727601649,0.3716007694439326,0.08411708114724303
75.0,13.767801417794503,117.47547153693552,21.35889,1,99.9805,13,0.5296,0.3463336593427134,0.4175376192211594,0.08396357953619903
76.0,13.763759410488714,135.12640005862832,20.3497,1,78.69502,8,1.61093,0.2877936206436862,0.3677527942408052,0.08401290199598647
77.0,13.748982432633756,146.93079129724362,22.3051,2,76.33075,37,0.94464,0.2226689445068732,0.3333725659162689,0.0841935879395387
78.0,13.722102924926835,160.49136193824077,21.44506,2,89.55021,40,0.2258,0.1987797192678061,0.2952597189042034,0.0845237558044492
79.0,13.69319244137172,159.19244956505506,20.20147,2,81.65422,39,1.85899,0.186063861987291,0.298393519829951,0.08488104316122352
80.0,13.676524341183208,165.43559933781552,21.28443,2,93.77831,40,0.4276,0.1638262682379647,0.2807304567119181,0.08508806474579692
81.0,13.659642816160844,170.27706314392734,21.17177,2,92.79511,11,0.21798,0.1119705256746841,0.2667832655811577,0.08529851005896133
82.0,13.664533205600655,162.97637937526014,20.26158,2,101.1713,1,0.05242,0.1503388978491348,0.2868231875774535,0.08523746614607172
83.0,13.65341905417626,174.6974369092641,20.63013,2,104.36303,27,1.06599,0.1369289136373714,0.2542784127856264,0.08537629257182842
84.0,13.610194134885386,-7.089214433431877,23.37231,2,114.65251,3,0.69621,0.1159513927928436,0.2200303672605619,0.08591945066414776
85.0,13.612574405400183,-12.51983879737989,21.79671,2,104.01324,33,0.05621,0.0830879053043837,0.2048131659275703,0.08588940584694979
86.0,13.606211988898872,-11.573644814042083,21.54731,2,96.6964,17,0.18284,0.1720770397292509,0.2081162901801611,0.08596975031605932
87.0,13.575906290432467,-31.57404525880712,23.56759,2,86.20289,15,0.4625,0.101510529567811,0.1523467444070416,0.08635400183951843
88.0,13.561342198937153,-26.38669309734155,25.84386,2,89.19556,8,1.11372,0.1218226519167474,0.167425488776691,0.08653957977069623
89.0,13.549511296520802,-33.3250081966141,27.12235,2,105.71763,13,3.50235,0.064843977323125,0.1478516875902567,0.08669077169047384
90.0,13.53382642533588,-50.27816523073458,25.83527,2,99.94833,35,0.169,-0.0051728667350451,0.100617565563887,0.08689182665717204
91.0,13.515168495191984,-57.16845127850573,25.92673,2,89.11158,33,0.23634,-0.0523436083643202,0.0816952007592006,0.0871319036780468
92.0,13.529095128831768,-58.200920274183986,28.74522,2,77.57882,24,1.04701,-0.0584432676001468,0.0786967817907759,0.0869526116360865
93.0,13.50077534984298,-48.0846350410598,29.25653,2,79.74006,26,0.82045,-0.0328952343432015,0.1062556624377431,0.08731778495069387
94.0,13.494417461954106,-57.91763527475126,27.9908,2,68.70443,43,4.91586,-0.061484473385452,0.0795666083137761,0.08740008379314211
95.0,13.509805286365903,-47.26848649918538,29.62689,5,69.21098,11,0.4082,-0.0475618479690504,0.1091101638760535,0.08720109776961377
96.0,13.515578179941954,-47.08465427405248,28.63149,48,82.92482,32,1.58381,-0.0480710398785626,0.109917613798737,0.08712662146656035
97.0,13.510505512950392,-55.00803988088639,26.48474,48,93.3809,44,0.58769,-0.0394815550989356,0.0882017894018128,0.08719205903387371
98.0,13.491184839815013,-75.2076656401732,28.16695,48,103.78779,20,1.28189,-0.0723199592892162,0.0328781794214045,0.08744197267063601
99.0,13.508268151193631,-68.48046194066231,27.08282,48,113.29278,45,0.2346,-0.035430603035584,0.0517524594614837,0.0872209445033751
