direction_mean,F,K,theta
-0.4328798097838136,10.0,0.5,15.0
3.083317238992223,10.0,0.5,30.0
2.681657778160644,10.0,0.5,45.0
-9.098006538241853,10.0,0.5,60.0
5.186550568397749,10.0,5.0,0.0
9.421377685103874,10.0,5.0,0.5
-2.926928264740492,10.0,5.0,1.0
-4.354984100711109,10.0,5.0,2.0
-2.8262568595346345,10.0,5.0,5.0
-9.4579837472401,10.0,5.0,10.0
4.317791389895395,10.0,5.0,15.0
10.540242026403744,10.0,5.0,30.0
6.709882284781713,10.0,5.0,45.0
3.9557739982784623,10.0,5.0,60.0
-5.891641275698834,10.0,10.0,0.0
-3.90199481873458,10.0,10.0,0.5
-3.2685674444594683,10.0,10.0,1.0
3.9164220681816007,10.0,10.0,2.0
18.28080355251623,10.0,10.0,5.0
8.34315298484967,10.0,10.0,10.0
13.24703710043409,10.0,10.0,15.0
15.98060517368275,10.0,10.0,30.0
1.1342015492950188,10.0,10.0,45.0
0.5208281566445196,10.0,10.0,60.0
15.392525011967695,10.0,50.0,0.0
-5.7069761699034665,10.0,50.0,0.5
10.861204571376888,10.0,50.0,1.0
26.000838823410824,10.0,50.0,2.0
21.15665462738848,10.0,50.0,5.0
-6.257477406368271,10.0,50.0,10.0
-14.095245296676593,10.0,50.0,15.0
-11.137102788980211,10.0,50.0,30.0
-3.654965268476625,10.0,50.0,45.0
15.309221943422832,10.0,50.0,60.0
57.54183379687462,10.0,75.0,0.0
81.305515161596,10.0,75.0,0.5
38.10432329424972,10.0,75.0,1.0
8.114630891586728,10.0,75.0,2.0
2.531719017865659,10.0,75.0,5.0
10.7013752945239,10.0,75.0,10.0
23.965302977969067,10.0,75.0,15.0
22.71889475457393,10.0,75.0,30.0
4.402560067119234,10.0,75.0,45.0
4.1084830813289095,10.0,75.0,60.0
44.35044003340901,10.0,100.0,0.0
1.3581101014521568,10.0,100.0,0.5
43.301440823677595,10.0,100.0,1.0
34.78995419301276,10.0,100.0,2.0
62.754439110042185,10.0,100.0,5.0
25.949288762153753,10.0,100.0,10.0
-11.083087356600846,10.0,100.0,15.0
32.97466297319653,10.0,100.0,30.0
32.82309530343033,10.0,100.0,45.0
-3.325976794597653,10.0,100.0,60.0
52.279303224719115,10.0,200.0,0.0
85.47028107291088,10.0,200.0,0.5
61.75193969952551,10.0,200.0,1.0
56.786419490042064,10.0,200.0,2.0
85.84415187557696,10.0,200.0,5.0
36.93935507868393,10.0,200.0,10.0
70.19602325365648,10.0,200.0,15.0
90.64568681313423,10.0,200.0,30.0
27.510770114187835,10.0,200.0,45.0
-16.583859745569317,10.0,200.0,60.0
85.63773828019055,10.0,300.0,0.0
91.92462114785738,10.0,300.0,0.5
107.06870856113942,10.0,300.0,1.0
73.86775163966527,10.0,300.0,2.0
76.88556149168302,10.0,300.0,5.0
101.0630179500128,10.0,300.0,10.0
18.46203201563835,10.0,300.0,15.0
42.1284076028859,10.0,300.0,30.0
70.58015718660822,10.0,300.0,45.0
20.561962238180566,10.0,300.0,60.0
0.1475768209376467,20.0,0.5,0.0
2.71546990469038,20.0,0.5,0.5
-0.0113037457793374,20.0,0.5,1.0
0.4228977066069938,20.0,0.5,2.0
-0.2662369443609212,20.0,0.5,5.0
2.4763668962985745,20.0,0.5,10.0
-1.8721955238887271,20.0,0.5,15.0
2.4351832427589724,20.0,0.5,30.0
0.8744217290859714,20.0,0.5,45.0
2.7507660905863007,20.0,0.5,60.0
-1.5995465362096255,20.0,5.0,0.0
-5.109715515714808,20.0,5.0,0.5
3.683484178443706,20.0,5.0,1.0
1.7975905044512537,20.0,5.0,2.0
4.19610344813631,20.0,5.0,5.0
4.754731921657212,20.0,5.0,10.0
3.5421614514700557,20.0,5.0,15.0
3.3715541046629873,20.0,5.0,30.0
7.626014693963742,20.0,5.0,45.0
2.392899507740773,20.0,5.0,60.0
-3.351007027377335,20.0,10.0,0.0
4.8571193374144475,20.0,10.0,0.5
10.413230736506645,20.0,10.0,1.0
3.7753322787313377,20.0,10.0,2.0
-0.5684873817406334,20.0,10.0,5.0
0.7091646690917827,20.0,10.0,10.0
18.187471357292814,20.0,10.0,15.0
0.816252747628797,20.0,10.0,30.0
-3.4337631031349525,20.0,10.0,45.0
2.271589590098519,20.0,10.0,60.0
7.300292321843938,20.0,50.0,0.0
12.184909171014397,20.0,50.0,0.5
-15.593694028269043,20.0,50.0,1.0
-24.92107176273405,20.0,50.0,2.0
-1.5308389043256343,20.0,50.0,5.0
3.3072770355454137,20.0,50.0,10.0
21.325048673375957,20.0,50.0,15.0
6.059874235153271,20.0,50.0,30.0
-9.521399619362782,20.0,50.0,45.0
-2.411068489257823,20.0,50.0,60.0
26.541152318801704,20.0,75.0,0.0
12.47258377332243,20.0,75.0,0.5
4.690899621150402,20.0,75.0,1.0
41.07060122928755,20.0,75.0,2.0
28.671805329301453,20.0,75.0,5.0
30.596424711491483,20.0,75.0,10.0
14.599952125507809,20.0,75.0,15.0
5.306799131956622,20.0,75.0,30.0
-28.502117287571828,20.0,75.0,45.0
-4.817886341645396,20.0,75.0,60.0
27.63706595664204,20.0,100.0,0.0
-7.466504558855277,20.0,100.0,0.5
37.10291650738602,20.0,100.0,1.0
37.023353715141624,20.0,100.0,2.0
-1.9501936789143357,20.0,100.0,5.0
25.951948052955466,20.0,100.0,10.0
47.00907001470182,20.0,100.0,15.0
22.99289409733898,20.0,100.0,30.0
9.77337448678778,20.0,100.0,45.0
26.590796442565377,20.0,100.0,60.0
62.26322998254343,20.0,200.0,0.0
40.18009904554735,20.0,200.0,0.5
60.42265714791191,20.0,200.0,1.0
57.985597106079226,20.0,200.0,2.0
22.85722182805508,20.0,200.0,5.0
55.70191231176947,20.0,200.0,10.0
37.131565266596226,20.0,200.0,15.0
39.6301055638626,20.0,200.0,30.0
18.294648511843757,20.0,200.0,45.0
29.056581964322177,20.0,200.0,60.0
48.741344550213945,20.0,300.0,0.0
40.486940038597645,20.0,300.0,0.5
16.314791394695643,20.0,300.0,1.0
51.863270638375184,20.0,300.0,2.0
60.65424770681251,20.0,300.0,5.0
54.87712455382573,20.0,300.0,10.0
67.16573803251678,20.0,300.0,15.0
22.843391418753196,20.0,300.0,30.0
35.06194144776631,20.0,300.0,45.0
-2.1088140541114613,20.0,300.0,60.0
0.1525700732285532,30.0,0.5,0.0
-0.6071418266032694,30.0,0.5,0.5
-0.302140175151034,30.0,0.5,1.0
-0.4880650554113958,30.0,0.5,2.0
1.2831750919221456,30.0,0.5,5.0
0.0121407650755893,30.0,0.5,10.0
0.3838559535877108,30.0,0.5,15.0
-0.1118300104385124,30.0,0.5,30.0
-2.44534123495014,30.0,0.5,45.0
3.4035162108448147,30.0,0.5,60.0
-1.8678551289005552,30.0,10.0,0.0
7.671315335978219,30.0,10.0,0.5
-6.1997207140652435,30.0,10.0,1.0
-0.816572695601432,30.0,10.0,2.0
0.7905453688011057,30.0,10.0,5.0
12.059049428590937,30.0,10.0,10.0
-6.429772406679322,30.0,10.0,15.0
-6.572613331685055,30.0,10.0,30.0
1.3219209068835571,30.0,10.0,45.0
0.6986818082276051,30.0,10.0,60.0
23.858917524626833,30.0,100.0,0.0
27.503960919128616,30.0,100.0,0.5
24.73727473996113,30.0,100.0,1.0
21.50810616040458,30.0,100.0,2.0
0.2303222414690409,30.0,100.0,5.0
22.27159662530999,30.0,100.0,10.0
15.060909885910826,30.0,100.0,15.0
1.5900484157575356,30.0,100.0,30.0
-6.289843181133557,30.0,100.0,45.0
4.610255169298507,30.0,100.0,60.0
22.85475406552772,30.0,200.0,0.0
6.658626357912459,30.0,200.0,0.5
42.2849315205102,30.0,200.0,1.0
44.87915338470104,30.0,200.0,2.0
46.4299858360627,30.0,200.0,5.0
6.145364090672058,30.0,200.0,10.0
51.983004149107956,30.0,200.0,15.0
34.36809534079905,30.0,200.0,30.0
-2.8481308663044387,30.0,200.0,45.0
-4.820689067281914,30.0,200.0,60.0
24.1111043930958,30.0,300.0,0.0
