F,K,theta,n_runs,mean_curv_over_27_streak_mean,mean_curv_over_27_streak_max,max_curv_over_119_streak_mean,max_curv_over_119_streak_max,turning_number_over_3.7_streak_mean,turning_number_over_3.7_streak_max,winding_number_over_3.4_streak_mean,winding_number_over_3.4_streak_max,density_over_2_streak_mean,density_over_2_streak_max,Rg_under_6_streak_mean,Rg_under_6_streak_max,winding_number_under_-3.4_streak_mean,winding_number_under_-3.4_streak_max,turning_number_under_-3.7_streak_mean,turning_number_under_-3.7_streak_max,Rg_mean,Rg_max,Rg_min,turning_number_mean,turning_number_max,turning_number_min,winding_number_mean,winding_number_max,winding_number_min,density_mean,density_max,density_min,direction_mean,mean_curv_mean,max_curv_max,min_curv_min,mean_neighbor_count,max_neighbor_count,max_neighbor_monomer,mean_neighbor_distance,min_neighbor_distance,mean_curv_times_over_27,max_curv_times_over_119,turning_number_times_over_3.7,winding_number_times_over_3.4,density_times_over_2,Rg_times_under_6,winding_number_times_under_-3.4,turning_number_times_under_-3.7,Rg_under_2_unique_streaks,winding_number_under_2_unique_streaks,turning_number_under_2_unique_streaks,mean_curv_over_27_unique_streaks,max_curv_over_119_unique_streaks,turning_number_over_3.7_unique_streaks,winding_number_over_3.4_unique_streaks,density_over_2_unique_streaks,mean_Rg_when_Rg_lessthan_6,min_Rg_when_Rg_lessthan_6,mean_degrees_when_Rg_lessthan_6,min_degrees_when_Rg_lessthan_6,mean_mean_curv_when_Rg_lessthan_6,min_mean_curv_when_Rg_lessthan_6,mean_max_curv_when_Rg_lessthan_6,min_max_curv_when_Rg_lessthan_6,mean_min_curv_when_Rg_lessthan_6,min_min_curv_when_Rg_lessthan_6,mean_max_curv_monomer_when_Rg_lessthan_6,min_max_curv_monomer_when_Rg_lessthan_6,mean_min_curv_monomer_when_Rg_lessthan_6,min_min_curv_monomer_when_Rg_lessthan_6,mean_turning_number_when_Rg_lessthan_6,min_turning_number_when_Rg_lessthan_6,mean_winding_number_when_Rg_lessthan_6,min_winding_number_when_Rg_lessthan_6,mean_density_when_Rg_lessthan_6,min_density_when_Rg_lessthan_6,mean_neighbor_count_when_Rg_lessthan_6,min_neighbor_count_when_Rg_lessthan_6,mean_max_neighbor_monomer_when_Rg_lessthan_6,min_max_neighbor_monomer_when_Rg_lessthan_6,mean_tail_direction_when_Rg_lessthan_6,min_tail_direction_when_Rg_lessthan_6,mean_head_and_tail_angle_diff_when_Rg_lessthan_6,min_head_and_tail_angle_diff_when_Rg_lessthan_6
5.0,10.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.85616,271.4,0.0,0.0,0.0,0.0,11.541122846352781,14.465961002911595,8.084995410519173,0.008980482551375814,0.762633561415303,-0.7691580125831213,0.035354585619131594,0.6225165138994952,-0.47333368992851355,0.14878247733673122,0.325610214884939,0.07605496635229066,-10.452119241175833,14.825837938000001,99.930728,7.400000000000001e-05,0.50324,1.8,18.0,0.9999594111080932,0.9578382126686386,0.0,0.0,0.0,0.0,0.0,271.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232734531208911,4.7331473528826455,8.820326201230452,-179.80270925620923,17.97526428571429,13.27057,61.79259727540501,33.99111,0.5850297128129602,8e-05,17.385125184094257,1.0,25.137702503681886,1.0,0.8577927722943501,-0.2550117318826204,0.697588466616852,-0.2972474125923001,0.5858747248168115,0.4422482552069148,0.5773195876288659,0.0,3.740058910162003,2.0,13.030731590966758,-179.83844133186847,-4.210405389736303,-357.688436887594
5.0,10.0,0.5,5,0.0013599999999999999,0.4,0.0019199999999999998,0.8,0.0,0.0,0.0,0.0,0.00064,1.0,433.25699999999995,1185.0,0.0,0.0,0.0,0.0,9.728604524167206,14.48435685573494,6.217423686136068,0.6123305260698955,1.6671995831901718,-0.6784697700707293,0.6038596554045192,1.520487689482258,-0.48165827516786547,0.46671192559602626,0.9209783407738188,0.07586160030965532,-12.306705778768901,16.559962076799998,101.298666,0.00011,0.6368000000000001,2.0,14.4,1.0998806458358508,0.9446095071392738,6.0,7.8,0.0,0.0,1.2,1185.0,0.0,0.0,0.4,0.0,0.0,5.2,6.6,0.0,0.0,0.4,3.7465766082284224,2.845520222090964,14.422013556301614,-179.74970544024472,21.78246901330612,13.951905,74.87712740748177,36.878135,0.9568501604207099,0.00021,8.394834816748087,1.0,31.870428740324343,1.0,2.515620464243807,1.067991386980315,2.3105876618747136,1.085969337457618,1.3516529790071938,0.4424501994247645,0.9193435053202168,0.0,3.9411976622275757,2.0,0.39390507676451225,-179.97319971339903,14.028108479537103,-340.1917239733852
5.0,10.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.981540883569814,14.469972598863317,8.593077804280723,-0.07714805749584965,0.6232793454744199,-0.7384489965211991,-0.03752008619496456,0.4157794014423886,-0.4817215198226279,0.11781418520628444,0.2382653737934139,0.07601289235644756,-18.98303790063476,14.435945845200001,94.49187,7.799999999999999e-05,0.49664,1.2,11.6,0.9936877152664646,0.9691641349481659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,2.0,5,0.00044,0.4,0.0008399999999999999,0.4,0.0,0.0,0.0,0.0,4e-05,0.2,20.10012,200.4,0.0,0.0,0.0,0.0,11.398085021277831,14.480374398887326,6.894309967093223,0.18818487251298893,1.3032873510591167,-0.7011330087254779,0.16112677193349953,1.040997244081914,-0.4480481646567789,0.18580396963869367,0.6103285916617684,0.07590336166558304,-26.073994411940372,15.1297070448,102.558464,5.599999999999999e-05,0.5264800000000001,1.6,5.6,1.0240337978428562,0.9562503903025016,2.0,3.8,0.0,0.0,0.2,200.4,0.0,0.0,0.2,0.0,0.0,1.8,3.4,0.0,0.0,0.2,3.2297948025905536,2.8171591612267832,-5.357357679850356,-179.94232357543774,24.845739970059885,18.97881,93.49802859281438,44.40209,1.2289638722554892,0.0006,1.8353293413173652,1.0,35.94111776447106,1.0,3.1261290083354596,1.9027483446602207,2.9770865331300636,1.899051846759812,1.6795245659418878,0.444644289465778,1.1716566866267466,0.0,4.1706586826347305,2.0,-20.66947755333661,-179.19460981974365,15.312119873486244,-190.00955911613536
5.0,10.0,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.416040722107974,14.485585714059445,7.49486751827394,0.1103202688939761,0.8493597522109795,-0.5763728629383248,0.0455758047133216,0.5832904780616905,-0.44391241072841464,0.13340483750595303,0.3079721219944455,0.07584888925362077,-1.8614841364015482,15.1115955184,107.02786799999998,7.2e-05,0.50092,1.4,20.2,0.9936195102495997,0.9671241056595555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,10.0,5,0.0,0.0,4e-05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.91164,42.6,0.0,0.0,0.0,0.0,11.388160105901097,14.499503682189268,6.358874859545299,0.10336547285576843,0.9603039739058625,-0.6019430730954745,0.05055411571607006,0.7612409761270678,-0.4484651878231368,0.14066055654026993,0.5036356283673997,0.07570318422203762,-10.505738721929765,15.0373118176,112.527004,9.2e-05,0.50368,1.6,28.6,1.0014797043354584,0.9574259570369759,0.0,0.2,0.0,0.0,0.0,42.6,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.622752749393938,3.59693847175678,-58.55655727440544,-173.65729384765322,21.4414220657277,17.80998,80.76525136150235,52.26103,0.6086452582159624,0.00062,7.568075117370892,1.0,28.145539906103288,1.0,1.5836325421841997,1.3100031094725857,1.5251199734142762,1.2928189724444954,0.8029207372824786,0.4476963429715575,0.7511737089201878,0.0,6.178403755868545,2.0,68.73425650345575,-178.8569525908856,-127.29081377786122,-343.89201877741175
5.0,10.0,15.0,5,0.0,0.0,0.0008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.647287864959129,14.495803998084853,7.677538539085091,0.10256020839700837,0.7673268820053132,-0.47067956623634977,0.04132413439919832,0.5447818942334054,-0.3514765962290361,0.13241915839828317,0.3043521855520561,0.07574206081786432,12.668416935879454,14.8543094612,120.884262,8.400000000000001e-05,0.49772,1.4,18.4,0.9935493208922248,0.9602952830765302,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,30.0,5,0.07827999999999999,6.2,0.00736,2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.85528,220.8,0.0,0.0,0.0,0.0,10.384382855854861,14.47852221735015,5.678962196258645,0.2517545199070755,1.1404043860659765,-0.4727704236964236,0.11293082866934072,0.7730548206980767,-0.2659838786061718,0.1944373186270049,0.5605819092253054,0.07592307271081992,14.476722292105986,15.893371733200002,123.53917799999999,5.6000000000000006e-05,0.5069999999999999,2.4,47.2,1.0155802774016425,0.943662597145126,76.6,33.6,0.0,0.0,0.0,232.4,0.0,0.0,2.6,0.0,0.0,21.4,31.0,0.0,0.0,0.0,5.325531435496186,4.8611585188846185,41.87674429915926,-67.00808294007822,23.051233585592044,18.46179,99.8865108320487,63.076546666666665,0.6235180724974047,0.0015933333333333335,25.079467988625485,6.0,24.800803160789386,1.0,0.5457194508346669,0.1640368539887911,0.3104747183666619,-0.09128374687736325,0.5864995843841038,0.44224922825120955,0.5140126229574767,0.0,3.6231650740894614,2.0,-35.26624758399175,-174.0598230588245,77.142991883151,-153.39556007214148
5.0,10.0,45.0,5,0.01708,4.0,0.017079999999999998,2.6,0.0,0.0,0.0,0.0,0.0,0.0,129.71876000000003,869.8,0.0,0.0,0.0,0.0,9.582842275826895,14.478487666870299,5.371800552183499,0.3898146315125538,1.0585073682268764,-0.3160659062821867,0.13741796428393435,0.799551743030493,-0.2692422466198064,0.2555045776739013,0.6028061356743283,0.07592334101795184,9.548802112129351,16.4824754912,125.418846,0.00010200000000000001,0.51804,2.6,50.0,1.059087123803733,0.9296147658527175,22.8,77.4,0.0,0.0,0.0,970.4,0.0,0.0,3.8,0.0,0.0,11.0,70.4,0.0,0.0,0.0,5.492882574112348,4.956882613461097,2.343959975480299,-138.07798596521872,21.709290810922166,15.8342125,100.22712834403468,63.8381125,0.5452565057948743,0.0011875,28.561882098376213,6.5,23.963472745131558,1.0,0.7541929787506089,0.2621862494113799,0.3116311053282105,-0.09595341503620032,0.5373555163845203,0.4423689696987129,0.5835590758237581,0.0,4.542089235132905,2.0,-25.60888964946963,-179.0534301320934,27.95284962494994,-275.870257702974
5.0,10.0,60.0,5,0.0,0.0,0.027000000000000003,2.8,0.0,0.0,0.0,0.0,0.0,0.0,78.17932,605.0,0.0,0.0,0.0,0.0,9.17974761315094,14.480618001733973,5.318775152942414,0.48718331044209967,1.237710886177328,-0.28616639989007875,0.12403670277946263,0.5621201680365007,-0.2274786079839429,0.2688409464320563,0.583517200788123,0.07590080380332771,-14.441218949985052,15.715546977599999,124.705258,5.8e-05,0.5151999999999999,2.2,50.0,0.997218680949568,0.9315496037317785,0.0,119.4,0.0,0.0,0.0,837.4,0.0,0.0,5.4,0.0,0.0,0.0,105.2,0.0,0.0,0.0,5.536343663421825,5.026469340932382,-20.17494358117802,-152.96533921013003,18.898577501114804,14.171695,102.17125402130166,63.819122500000006,0.47081597761894417,0.0009275,30.0137830175048,6.25,24.068968888507378,1.0,0.9391066022713257,0.539539286845344,0.06799796260770606,-0.1441166638570076,0.5241271766343496,0.44228608289120885,0.5037144007598717,0.0,2.622602316389647,2.0,0.6352297333477752,-149.4404074745099,-20.810173314525812,-217.05331330364973
